#
# ROI IR statistics timeseries for blackrockforest
#
# Site: blackrockforest
# Veg Type: DB
# ROI ID Number: 1000
# Lat: 41.3974
# Lon: -74.0239
# Elev: 427
# UTC Offset: -5
# Resize Flag: False
# Version: 1
# Creation Date: 2020-07-24
# Creation Time: 11:53:06
# Update Date: 2020-07-27
# Update Time: 08:27:46
#
date,local_std_time,doy,filename,solar_elev,exposure,awbflag,mask_index,ir_mean,ir_std,ir_5_qtl,ir_10_qtl,ir_25_qtl,ir_50_qtl,ir_75_qtl,ir_90_qtl,ir_95_qtl
2020-05-29,06:48:05,150,blackrockforest_IR_2020_05_29_064805.jpg,24.17317,22,0,1,81.17504,20.51233,49,55,67,80,96,109,115
2020-05-29,07:18:05,150,blackrockforest_IR_2020_05_29_071805.jpg,29.76005,35,0,1,64.76846,19.39698,33,40,52,64,79,90,96
2020-05-29,07:48:05,150,blackrockforest_IR_2020_05_29_074805.jpg,35.37900,14,0,1,70.36795,19.99094,36,44,58,71,84,95,102
2020-05-29,08:18:05,150,blackrockforest_IR_2020_05_29_081805.jpg,40.98849,22,0,1,59.00193,25.72040,13,24,42,60,77,91,100
2020-05-29,08:48:05,150,blackrockforest_IR_2020_05_29_084805.jpg,46.53707,42,0,1,71.17737,31.06301,16,29,51,72,92,110,121
2020-05-29,09:18:05,150,blackrockforest_IR_2020_05_29_091805.jpg,51.95422,46,0,1,68.84007,28.27228,19,31,50,70,88,104,114
2020-05-29,09:48:05,150,blackrockforest_IR_2020_05_29_094805.jpg,57.13443,12,0,1,71.45087,31.38934,17,30,51,72,92,111,123
2020-05-29,10:18:05,150,blackrockforest_IR_2020_05_29_101805.jpg,61.90941,21,0,1,93.27161,39.46574,26,42,66,94,120,143,158
2020-05-29,10:48:06,150,blackrockforest_IR_2020_05_29_104806.jpg,66.00538,14,0,1,85.91857,37.22646,21,36,61,87,111,133,146
2020-05-29,11:18:06,150,blackrockforest_IR_2020_05_29_111806.jpg,68.98921,21,0,1,82.79774,36.40856,20,35,58,83,107,129,143
2020-05-29,11:48:05,150,blackrockforest_IR_2020_05_29_114805.jpg,70.33408,26,0,1,93.00105,38.47671,28,43,67,94,119,142,156
2020-05-29,12:18:05,150,blackrockforest_IR_2020_05_29_121805.jpg,69.70644,12,0,1,92.00620,37.75740,29,43,67,92,117,140,155
2020-05-29,12:48:05,150,blackrockforest_IR_2020_05_29_124805.jpg,67.27083,20,0,1,95.89735,37.75021,33,47,70,96,121,144,158
2020-05-29,13:18:05,150,blackrockforest_IR_2020_05_29_131805.jpg,63.53150,16,0,1,106.99572,38.62788,44,58,81,107,132,156,172
2020-05-29,13:48:05,150,blackrockforest_IR_2020_05_29_134805.jpg,58.97126,11,0,1,70.97920,30.65147,20,31,50,71,92,110,122
2020-05-29,14:18:06,150,blackrockforest_IR_2020_05_29_141806.jpg,53.91620,11,0,1,71.44954,28.96122,22,34,52,72,91,108,119
2020-05-29,14:48:06,150,blackrockforest_IR_2020_05_29_144806.jpg,48.57421,30,0,1,83.46634,35.70792,22,36,59,84,108,129,141
2020-05-29,15:18:06,150,blackrockforest_IR_2020_05_29_151806.jpg,43.06734,11,0,1,113.67710,45.06280,43,60,84,110,141,173,194
2020-05-29,15:48:05,150,blackrockforest_IR_2020_05_29_154805.jpg,37.47987,14,0,1,81.43735,36.94363,21,35,58,80,104,129,146
2020-05-29,16:18:05,150,blackrockforest_IR_2020_05_29_161805.jpg,31.86282,24,0,1,74.18756,32.28084,19,32,52,74,96,115,127
2020-05-29,16:48:05,150,blackrockforest_IR_2020_05_29_164805.jpg,26.26371,25,0,1,85.33652,37.23622,23,38,61,84,109,133,148
2020-05-29,17:18:05,150,blackrockforest_IR_2020_05_29_171805.jpg,20.72100,156,0,1,69.31782,29.47570,17,29,50,71,90,106,116
2020-05-29,17:48:05,150,blackrockforest_IR_2020_05_29_174805.jpg,15.27213,160,0,1,88.71031,39.30353,19,35,62,91,116,138,151
2020-05-29,18:18:05,150,blackrockforest_IR_2020_05_29_181805.jpg,9.95839,660,0,1,87.52454,38.56117,18,34,61,90,115,135,148
2020-05-29,18:48:05,150,blackrockforest_IR_2020_05_29_184805.jpg,4.85205,516,0,1,90.06692,39.59424,18,35,63,93,119,139,151
2020-05-29,19:18:05,150,blackrockforest_IR_2020_05_29_191805.jpg,0.21813,865,0,1,92.58298,40.93168,18,35,65,96,122,143,155
2020-05-30,04:48:05,151,blackrockforest_IR_2020_05_30_044805.jpg,3.07198,133,0,1,89.52403,40.84364,18,34,62,90,117,141,156
2020-05-30,05:18:05,151,blackrockforest_IR_2020_05_30_051805.jpg,8.06431,20,0,1,95.30826,49.71613,17,33,61,91,126,162,185
2020-05-30,05:48:05,151,blackrockforest_IR_2020_05_30_054805.jpg,13.31401,87,0,1,81.47503,36.56981,17,32,57,82,106,128,141
2020-05-30,06:18:05,151,blackrockforest_IR_2020_05_30_061805.jpg,18.72084,73,0,1,95.17906,41.22602,23,40,68,96,123,147,162
2020-05-30,06:48:06,151,blackrockforest_IR_2020_05_30_064806.jpg,24.23851,14,0,1,101.30222,50.79901,23,40,66,96,132,170,194
2020-05-30,07:18:05,151,blackrockforest_IR_2020_05_30_071805.jpg,29.82062,12,0,1,97.69839,48.63200,22,39,64,93,127,163,186
2020-05-30,07:48:05,151,blackrockforest_IR_2020_05_30_074805.jpg,35.43909,14,0,1,81.48319,40.83038,16,31,54,79,106,135,154
2020-05-30,08:18:05,151,blackrockforest_IR_2020_05_30_081805.jpg,41.04959,14,0,1,104.58886,48.34382,25,44,73,102,134,168,190
2020-05-30,08:48:05,151,blackrockforest_IR_2020_05_30_084805.jpg,46.60104,10,0,1,104.55381,51.43822,22,42,70,100,135,174,199
2020-05-30,09:18:05,151,blackrockforest_IR_2020_05_30_091805.jpg,52.02346,14,0,1,97.95842,44.25794,25,43,70,96,124,155,176
2020-05-30,09:48:05,151,blackrockforest_IR_2020_05_30_094805.jpg,57.21214,16,0,1,86.77321,40.08788,21,36,60,85,112,139,156
2020-05-30,10:18:05,151,blackrockforest_IR_2020_05_30_101805.jpg,61.99966,10,0,1,106.94270,51.66386,25,44,72,103,139,177,201
2020-05-30,10:48:05,151,blackrockforest_IR_2020_05_30_104805.jpg,66.11069,10,0,1,118.56233,52.49198,37,55,83,114,152,191,215
2020-05-30,11:18:05,151,blackrockforest_IR_2020_05_30_111805.jpg,69.11513,10,0,1,110.28194,50.58497,30,49,76,106,142,178,202
2020-05-30,11:48:05,151,blackrockforest_IR_2020_05_30_114805.jpg,70.47763,10,0,1,112.00863,51.01911,32,50,77,108,144,181,204
2020-05-30,12:18:05,151,blackrockforest_IR_2020_05_30_121805.jpg,69.85553,10,0,1,113.58809,50.92461,33,51,78,110,146,182,204
2020-05-30,12:48:06,151,blackrockforest_IR_2020_05_30_124806.jpg,67.41328,10,0,1,113.72752,50.62635,34,52,79,111,146,182,203
2020-05-30,13:18:05,151,blackrockforest_IR_2020_05_30_131805.jpg,63.66682,10,0,1,110.51561,48.99636,33,50,77,108,142,176,197
2020-05-30,13:48:05,151,blackrockforest_IR_2020_05_30_134805.jpg,59.09812,10,0,1,110.13833,49.98823,30,48,76,107,142,177,198
2020-05-30,14:18:06,151,blackrockforest_IR_2020_05_30_141806.jpg,54.03657,10,0,1,127.71058,48.43649,53,69,94,125,159,193,214
2020-05-30,14:48:05,151,blackrockforest_IR_2020_05_30_144805.jpg,48.69316,10,0,1,100.27226,48.19435,22,39,67,98,131,164,184
2020-05-30,15:18:05,151,blackrockforest_IR_2020_05_30_151805.jpg,43.18365,10,0,1,95.40361,46.27942,20,37,64,93,125,156,176
